순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
266,능곡하수처리시설,2019-04-09,비,14,18,203.4,104.5,227.5,59.226,6.152,"115,500","4,769",3.7,7.9,1.5,2.080,0.502,180,"4,448"
265,능곡하수처리시설,2019-04-10,비,10,18.4,139.8,96.7,237.5,75.435,7.894,"132,000","4,486",4.3,9.8,4.6,2.901,1.074,200,"3,847"
264,능곡하수처리시설,2019-04-11,흐림,13,17.9,118.2,86.5,210.0,76.508,6.873,"115,500","4,554",1.1,7.4,1.8,1.288,0.613,90,"4,149"
263,능곡하수처리시설,2019-04-12,흐림,15,18.4,194.4,83.7,387.5,63.607,5.634,"88,000","4,290",3.5,9.0,5.6,2.073,0.798,150,"3,857"
262,능곡하수처리시설,2019-04-13,흐림,16,17.8,148.2,108.5,317.5,66.515,6.136,"165,000","4,367",2.2,8.6,2.3,3.402,0.597,130,"3,930"
261,능곡하수처리시설,2019-04-14,비,13,18.1,136.8,112.3,207.5,58.706,4.756,"44,000","4,820",1.0,8.1,3.5,3.077,0.472,200,"4,319"
260,능곡하수처리시설,2019-04-15,맑음,15,18.9,253.8,106.1,177.5,80.504,7.495,"44,000","4,654",7.6,9.3,1.8,4.509,0.737,150,"4,270"
259,능곡하수처리시설,2019-04-16,흐림,20,19.3,169.8,93.9,617.5,60.554,6.262,"22,000","4,756",2.8,8.7,1.9,3.277,0.640,150,"3,903"
258,능곡하수처리시설,2019-04-17,흐림,19,19.4,122.3,98.3,195.0,69.048,7.396,"132,000","4,354",1.5,9.1,1.1,2.060,0.633,90,"3,962"
257,능곡하수처리시설,2019-04-18,비,15,19.5,251.4,94.7,267.5,63.453,6.390,"154,000","4,660",2.3,8.3,0.9,1.910,0.627,200,"4,124"
256,능곡하수처리시설,2019-04-19,흐림,19,19.6,213.6,82.2,247.5,55.187,5.945,"22,000","4,466",4.5,7.8,2.2,2.492,0.622,110,"4,002"
255,능곡하수처리시설,2019-04-20,비,18,19.7,135.6,114.3,220.0,74.077,7.262,"121,000","4,484",1.9,8.1,1.9,3.013,0.454,200,"3,959"
254,능곡하수처리시설,2019-04-21,비,16,19.6,258.6,80.2,310.0,54.529,4.134,"44,000","4,501",5.1,8.6,2.4,3.635,0.713,180,"3,969"
253,능곡하수처리시설,2019-04-22,흐림,25,20.2,173.4,105.5,170.0,59.509,6.542,"44,000","4,887",3.3,8.2,2.0,4.003,0.927,180,"4,597"
252,능곡하수처리시설,2019-04-23,비,23,20.4,223.8,102.1,202.5,55.765,6.755,"66,000","4,550",8.6,8.5,2.7,3.148,0.870,180,"4,054"
251,능곡하수처리시설,2019-04-24,비,22,20.7,283.2,79.6,152.5,39.666,5.355,"165,000","4,915",5.3,7.7,2.4,1.849,0.580,110,"4,323"
250,능곡하수처리시설,2019-04-25,비,17,20.9,253.2,102.5,217.5,72.007,6.745,"154,000","4,763",3.4,8.5,2.4,3.588,0.685,180,"4,055"
249,능곡하수처리시설,2019-04-26,비,10,19.2,453.6,118.2,215.0,82.855,11.172,"99,000","4,316",4.4,8.6,2.4,4.218,0.735,180,"4,078"
248,능곡하수처리시설,2019-04-27,맑음,16,19.4,397.2,80.4,92.5,22.059,3.817,"110,000","4,309",7.3,9.6,3.3,2.502,0.818,150,"3,961"
247,능곡하수처리시설,2019-04-28,비,16,19.4,260.4,104.5,237.5,50.317,6.403,"99,000","4,639",4.2,11.1,2.2,2.770,0.777,110,"3,920"
246,능곡하수처리시설,2019-04-29,흐림,17,19.8,205.2,134.0,215.0,36.625,6.118,"112,000","4,544",4.1,12.4,2.3,2.887,0.783,500,"3,979"
245,능곡하수처리시설,2019-04-30,흐림,20,20.2,256.8,100.9,182.5,47.433,6.327,"132,000","4,441",8.6,9.7,2.0,3.687,0.766,220,"4,258"
244,능곡하수처리시설,2019-05-01,흐림,19,20.8,288.6,100.7,150.0,57.879,7.140,"11,000","4,932",3.0,9.7,1.9,2.851,0.533,150,"4,178"
243,능곡하수처리시설,2019-05-02,맑음,22,20.8,489.0,90.9,337.5,73.509,8.851,"154,000","4,338",4.1,12.9,2.1,2.058,0.646,40,"3,930"
242,능곡하수처리시설,2019-05-03,흐림,22,20.3,282.6,82.6,135.0,51.809,5.812,"33,000","4,763",2.0,8.5,1.4,1.862,0.491,220,"4,012"
241,능곡하수처리시설,2019-05-04,흐림,22,20.3,226.2,101.1,235.0,26.461,2.690,"33,000","5,666",3.3,12.5,2.1,2.695,0.830,110,"5,468"
240,능곡하수처리시설,2019-05-05,흐림,23,20.9,268.8,76.8,282.5,38.929,3.751,"33,000","4,591",4.5,10.3,2.3,3.539,0.728,70,"4,401"
239,능곡하수처리시설,2019-05-06,맑음,18,20,295.8,96.7,265.0,90.082,8.574,"104,500","4,733",3.4,8.6,1.9,2.248,1.148,330,"3,551"
238,능곡하수처리시설,2019-05-07,흐림,18,20.4,291.6,84.9,177.5,59.390,6.037,"22,000","4,927",3.3,7.7,2.0,3.322,0.916,200,"4,244"
237,능곡하수처리시설,2019-05-08,흐림,17,20.6,242.4,97.9,170.0,60.903,5.185,"198,000","4,327",3.5,9.9,2.2,4.149,0.738,260,"4,142"
236,능곡하수처리시설,2019-05-09,흐림,18,21.1,279.6,92.1,470.0,48.717,6.094,"88,000","4,536",6.2,8.5,2.4,2.689,0.749,260,"3,797"
235,능곡하수처리시설,2019-05-10,흐림,21,21.3,327.0,92.9,607.5,67.010,7.622,"110,000","4,541",8.7,8.9,1.9,3.295,0.782,220,"4,124"
234,능곡하수처리시설,2019-05-11,흐림,23,21.6,282.6,77.4,200.0,56.876,4.096,"143,000","4,536",3.3,9.7,2.1,6.962,0.812,310,"4,225"
233,능곡하수처리시설,2019-05-12,흐림,24,21.5,335.4,84.7,157.5,68.936,5.211,"99,000","4,784",2.4,9.4,2.8,3.083,0.880,40,"4,178"
232,능곡하수처리시설,2019-05-13,비,21,21.3,427.2,100.9,177.5,67.730,5.789,"110,000","4,346",5.2,11.3,2.3,6.311,0.787,290,"3,837"
